Provider,Location,One_Day_Ahead,DateOne,Three_Days_Ahead,DateThree,Five_Days_Ahead,DateFive,Date_Scraped
DarkSky,Donegal,6.268999999999999,2020-03-16,10.029699999999998,2020-03-18,0.1252,2020-03-20,2020-03-15
DarkSky,Donegal,0.4292,2020-03-23,6.2425,2020-03-25,0.8009,2020-03-27,2020-03-22
DarkSky,Donegal,8.0936,2020-03-10,13.8141,2020-03-12,10.1481,2020-03-14,2020-03-09
DarkSky,Donegal,1.0741,2020-03-19,1.4819,2020-03-21,0.27590000000000003,2020-03-23,2020-03-18
DarkSky,Donegal,2.1547,2020-03-05,8.2127,2020-03-07,17.3164,2020-03-09,2020-03-04
DarkSky,Donegal,6.157400000000001,2020-02-28,8.1853,2020-03-01,2.8123,2020-03-03,2020-02-27
DarkSky,Donegal,23.3884,2020-02-11,4.7542,2020-02-13,11.6946,2020-02-15,2020-02-10
DarkSky,Donegal,29.7529,2020-02-10,9.8812,2020-02-12,10.7004,2020-02-14,2020-02-09
DarkSky,Donegal,15.731699999999998,2020-02-16,14.0455,2020-02-18,12.8964,2020-02-20,2020-02-15
DarkSky,Donegal,9.1451,2020-02-23,17.029,2020-02-25,14.8755,2020-02-27,2020-02-22
DarkSky,Donegal,12.3811,2020-03-02,4.7913999999999985,2020-03-04,9.1896,2020-03-06,2020-03-01
DarkSky,Donegal,4.6841,2020-04-02,0.12940000000000002,2020-04-04,10.455,2020-04-06,2020-04-01
DarkSky,Donegal,0.1246,2020-03-28,0.0638,2020-03-30,1.7735,2020-04-01,2020-03-27
DarkSky,Donegal,7.9341,2020-03-11,1.8761,2020-03-13,5.5498,2020-03-15,2020-03-10
DarkSky,Donegal,0.0389,2020-02-05,4.8668999999999984,2020-02-07,18.5693,2020-02-09,2020-02-04
DarkSky,Donegal,20.142000000000003,2020-02-19,19.8547,2020-02-21,15.7894,2020-02-23,2020-02-18
DarkSky,Donegal,28.0539,2020-02-29,5.8058,2020-03-02,0.15980000000000005,2020-03-04,2020-02-28
DarkSky,Donegal,2.8255,2020-02-04,0.09650000000000004,2020-02-06,6.6543,2020-02-08,2020-02-03
DarkSky,Donegal,0.1752,2020-03-21,0.7355000000000002,2020-03-23,3.3014,2020-03-25,2020-03-20
DarkSky,Donegal,1.9807,2020-03-18,0.0465,2020-03-20,1.4656,2020-03-22,2020-03-17
DarkSky,Donegal,14.6686,2020-03-07,14.74,2020-03-09,11.322000000000001,2020-03-11,2020-03-06
DarkSky,Donegal,1.9413,2020-04-01,1.3567,2020-04-03,2.9471,2020-04-05,2020-03-31
DarkSky,Donegal,9.6527,2020-02-13,14.4862,2020-02-15,21.108500000000006,2020-02-17,2020-02-12
DarkSky,Donegal,12.8533,2020-02-26,16.613,2020-02-28,10.1019,2020-03-01,2020-02-25
DarkSky,Donegal,24.4689,2020-02-21,7.472099999999997,2020-02-23,17.7933,2020-02-25,2020-02-20
DarkSky,Donegal,15.0124,2020-02-18,20.3454,2020-02-20,11.4379,2020-02-22,2020-02-17
DarkSky,Donegal,3.2746,2020-03-04,5.7035,2020-03-06,2.5278,2020-03-08,2020-03-03
DarkSky,Donegal,0.0217,2020-03-29,0.0072,2020-03-31,1.5403000000000002,2020-04-02,2020-03-28
DarkSky,Donegal,2.1057,2020-03-13,10.3221,2020-03-15,12.3407,2020-03-17,2020-03-12
DarkSky,Donegal,0.7455,2020-03-26,0.0268,2020-03-28,0.0123,2020-03-30,2020-03-25
DarkSky,Donegal,5.2236,2020-02-07,25.6263,2020-02-09,14.014000000000001,2020-02-11,2020-02-06
DarkSky,Donegal,32.254000000000005,2020-02-09,24.4167,2020-02-11,11.243,2020-02-13,2020-02-08
DarkSky,Donegal,28.2231,2020-02-15,14.775,2020-02-17,2.7014,2020-02-19,2020-02-14
DarkSky,Donegal,25.1738,2020-02-24,6.0801,2020-02-26,4.5525,2020-02-28,2020-02-23
DarkSky,Donegal,0.0537,2020-03-27,0.0051,2020-03-29,0.0239,2020-03-31,2020-03-26
DarkSky,Donegal,13.9181,2020-03-12,6.8971,2020-03-14,0.4193,2020-03-16,2020-03-11
DarkSky,Donegal,0.006999999999999999,2020-02-06,8.6486,2020-02-08,17.0476,2020-02-10,2020-02-05
DarkSky,Donegal,15.7214,2020-02-20,11.6745,2020-02-22,11.4256,2020-02-24,2020-02-19
DarkSky,Donegal,2.2677,2020-03-15,8.2131,2020-03-17,0.06770000000000001,2020-03-19,2020-03-14
DarkSky,Donegal,3.2115,2020-03-24,1.9608,2020-03-26,1.305,2020-03-28,2020-03-23
DarkSky,Donegal,22.066999999999997,2020-03-09,9.097,2020-03-11,2.5847,2020-03-13,2020-03-08
DarkSky,Donegal,0.0959,2020-03-20,2.2056,2020-03-22,13.5875,2020-03-24,2020-03-19
DarkSky,Donegal,3.8894,2020-03-06,8.4444,2020-03-08,12.052,2020-03-10,2020-03-05
DarkSky,Donegal,8.239600000000001,2020-02-27,10.859000000000002,2020-02-29,3.7856,2020-03-02,2020-02-26
DarkSky,Donegal,10.6614,2020-02-12,5.9461,2020-02-14,10.0103,2020-02-16,2020-02-11
DarkSky,Donegal,10.8095,2020-02-22,13.8715,2020-02-24,10.7635,2020-02-26,2020-02-21
DarkSky,Donegal,12.8754,2020-02-17,12.989,2020-02-19,12.7731,2020-02-21,2020-02-16
DarkSky,Donegal,4.7845,2020-03-03,2.5873,2020-03-05,8.0734,2020-03-07,2020-03-02
DarkSky,Donegal,0.8095,2020-04-03,5.2697,2020-04-05,0.0867,2020-04-07,2020-04-02
DarkSky,Donegal,0.0405,2020-03-30,0.9729,2020-04-01,3.9355,2020-04-03,2020-03-29
DarkSky,Donegal,8.7541,2020-03-14,3.0444,2020-03-16,9.2019,2020-03-18,2020-03-13
DarkSky,Donegal,4.143000000000002,2020-03-25,0.08410000000000001,2020-03-27,0.0538,2020-03-29,2020-03-24
DarkSky,Donegal,25.4139,2020-02-08,23.2033,2020-02-10,9.2401,2020-02-12,2020-02-07
DarkSky,Donegal,11.970199999999998,2020-03-01,7.0634,2020-03-03,4.7159,2020-03-05,2020-02-29
DarkSky,Donegal,16.6727,2020-02-03,0.0279,2020-02-05,3.5437,2020-02-07,2020-02-02
DarkSky,Donegal,0.4064,2020-03-22,11.0499,2020-03-24,3.4138,2020-03-26,2020-03-21
DarkSky,Donegal,6.7198,2020-03-17,2.7763,2020-03-19,0.08149999999999999,2020-03-21,2020-03-16
DarkSky,Donegal,13.5728,2020-03-08,7.807399999999999,2020-03-10,5.6202,2020-03-12,2020-03-07
DarkSky,Donegal,0.1552,2020-03-31,3.262,2020-04-02,0.6352,2020-04-04,2020-03-30
DarkSky,Donegal,6.2284,2020-02-14,16.072400000000002,2020-02-16,12.0103,2020-02-18,2020-02-13
