Provider,Location,One_Day_Ahead,DateOne,Three_Days_Ahead,DateThree,Five_Days_Ahead,DateFive,Date_Scraped
MetEireann,Donegal,0.0,2020-03-28,0.0,2020-03-30,3.5,2020-04-01,2020-03-27
MetEireann,Donegal,5.6,2020-03-07,17.3,2020-03-09,5.4,2020-03-11,2020-03-06
MetEireann,Donegal,0.0,2020-03-13,4.1,2020-03-15,18.800000000000004,2020-03-17,2020-03-12
MetEireann,Donegal,6.9,2020-02-03,0.0,2020-02-05,0.0,2020-02-07,2020-02-02
MetEireann,Donegal,7.5,2020-02-17,7.7,2020-02-19,19.7,2020-02-21,2020-02-16
MetEireann,Donegal,23.9,2020-02-24,6.4,2020-02-26,1.2,2020-02-28,2020-02-23
MetEireann,Donegal,10.5,2020-02-29,6.500000000000001,2020-03-02,8.599999999999998,2020-03-04,2020-02-28
MetEireann,Donegal,3.1000000000000005,2020-03-15,17.5,2020-03-17,1.1,2020-03-19,2020-03-14
MetEireann,Donegal,13.6,2020-02-10,9.2,2020-02-12,3.6,2020-02-14,2020-02-09
MetEireann,Donegal,0.30000000000000004,2020-03-22,0.4,2020-03-24,5.1,2020-03-26,2020-03-21
MetEireann,Donegal,7.8,2020-02-26,8.3,2020-02-28,2.8000000000000003,2020-03-01,2020-02-25
MetEireann,Donegal,0.0,2020-03-20,0.0,2020-03-22,15.2,2020-03-24,2020-03-19
MetEireann,Donegal,0.0,2020-02-05,4.5,2020-02-07,24.40000000000001,2020-02-09,2020-02-04
MetEireann,Donegal,10.9,2020-02-11,2.9,2020-02-13,16.799999999999994,2020-02-15,2020-02-10
MetEireann,Donegal,0.0,2020-03-27,0.0,2020-03-29,0.3,2020-03-31,2020-03-26
MetEireann,Donegal,5.000000000000001,2020-03-14,4.8,2020-03-16,0.0,2020-03-18,2020-03-13
MetEireann,Donegal,9.5,2020-03-08,7.0,2020-03-10,7.7,2020-03-12,2020-03-07
MetEireann,Donegal,7.0,2020-02-18,11.3,2020-02-20,10.6,2020-02-22,2020-02-17
MetEireann,Donegal,0.8,2020-02-04,0.0,2020-02-06,12.9,2020-02-08,2020-02-03
