Provider,Location,One_Day_Ahead,DateOne,Three_Days_Ahead,DateThree,Five_Days_Ahead,DateFive,Date_Scraped
YR,Donegal,7.899999999999999,2020-02-12,7.1,2020-02-14,5.1,2020-02-16,2020-02-11
YR,Donegal,15.9,2020-02-11,2.8,2020-02-13,17.799999999999994,2020-02-15,2020-02-10
YR,Donegal,0.0,2020-03-20,0.0,2020-03-22,14.6,2020-03-24,2020-03-19
YR,Donegal,0.6,2020-03-19,12.4,2020-03-21,0.1,2020-03-23,2020-03-18
YR,Donegal,0.0,2020-03-28,0.0,2020-03-30,4.0,2020-04-01,2020-03-27
YR,Donegal,0.0,2020-03-27,0.0,2020-03-29,0.9,2020-03-31,2020-03-26
YR,Donegal,2.6,2020-03-14,4.9,2020-03-16,0.0,2020-03-18,2020-03-13
YR,Donegal,0.2,2020-03-13,4.199999999999998,2020-03-15,19.5,2020-03-17,2020-03-12
YR,Donegal,8.0,2020-02-26,8.6,2020-02-28,3.1,2020-03-01,2020-02-25
YR,Donegal,10.4,2020-02-25,4.4,2020-02-27,3.0,2020-02-29,2020-02-24
YR,Donegal,3.6,2020-02-07,26.0,2020-02-09,14.9,2020-02-11,2020-02-06
YR,Donegal,23.0,2020-02-08,11.9,2020-02-10,11.0,2020-02-12,2020-02-07
YR,Donegal,0.7000000000000001,2020-04-03,1.8,2020-04-05,0.0,2020-04-07,2020-04-02
YR,Donegal,0.1,2020-03-31,3.7,2020-04-02,7.000000000000001,2020-04-04,2020-03-30
YR,Donegal,0.1,2020-03-31,3.7,2020-04-02,7.000000000000001,2020-04-04,2020-03-30
YR,Donegal,0.4,2020-03-05,10.0,2020-03-07,14.2,2020-03-09,2020-03-04
YR,Donegal,2.7,2020-03-06,8.3,2020-03-08,12.8,2020-03-10,2020-03-05
YR,Donegal,13.1,2020-03-10,5.2,2020-03-12,0.6,2020-03-14,2020-03-09
YR,Donegal,15.499999999999998,2020-03-09,3.2,2020-03-11,8.7,2020-03-13,2020-03-08
YR,Donegal,8.5,2020-01-28,3.0000000000000004,2020-01-30,3.1,2020-02-01,2020-01-27
YR,Donegal,0.0,2020-03-04,3.9,2020-03-06,2.9,2020-03-08,2020-03-03
YR,Donegal,3.7,2020-03-03,3.2,2020-03-05,6.4,2020-03-07,2020-03-02
YR,Donegal,7.6,2020-02-17,7.6,2020-02-19,19.9,2020-02-21,2020-02-16
YR,Donegal,12.099999999999998,2020-02-18,11.7,2020-02-20,12.0,2020-02-22,2020-02-17
YR,Donegal,0.4,2020-03-21,0.0,2020-03-23,9.1,2020-03-25,2020-03-20
YR,Donegal,0.0,2020-03-22,1.1,2020-03-24,5.9,2020-03-26,2020-03-21
YR,Donegal,9.3,2020-02-29,7.300000000000002,2020-03-02,8.1,2020-03-04,2020-02-28
YR,Donegal,6.6000000000000005,2020-03-01,9.4,2020-03-03,6.5,2020-03-05,2020-02-29
YR,Donegal,4.7,2020-03-15,17.3,2020-03-17,0.8,2020-03-19,2020-03-14
YR,Donegal,3.0,2020-03-16,2.6,2020-03-18,0.1,2020-03-20,2020-03-15
YR,Donegal,11.6,2020-02-23,10.5,2020-02-25,3.9,2020-02-27,2020-02-22
YR,Donegal,18.8,2020-02-24,7.1,2020-02-26,1.7999999999999998,2020-02-28,2020-02-23
YR,Donegal,7.699999999999997,2020-03-08,7.2,2020-03-10,8.9,2020-03-12,2020-03-07
YR,Donegal,7.5,2020-03-07,17.2,2020-03-09,6.9,2020-03-11,2020-03-06
YR,Donegal,0.0,2020-02-06,9.8,2020-02-08,15.1,2020-02-10,2020-02-05
YR,Donegal,0.0,2020-02-05,4.4,2020-02-07,23.3,2020-02-09,2020-02-04
YR,Donegal,4.3,2020-04-02,0.0,2020-04-04,1.6,2020-04-06,2020-04-01
YR,Donegal,9.8,2020-03-11,3.1,2020-03-13,1.7,2020-03-15,2020-03-10
YR,Donegal,3.7,2020-03-12,4.699999999999998,2020-03-14,0.0,2020-03-16,2020-03-11
YR,Donegal,26.3,2020-02-19,22.3,2020-02-21,25.9,2020-02-23,2020-02-18
YR,Donegal,8.0,2020-02-20,6.200000000000001,2020-02-22,4.9,2020-02-24,2020-02-19
YR,Donegal,2.6,2020-02-27,6.9,2020-02-29,3.4000000000000004,2020-03-02,2020-02-26
YR,Donegal,8.0,2020-02-28,6.9,2020-03-01,14.499999999999998,2020-03-03,2020-02-27
YR,Donegal,5.7,2020-02-13,8.0,2020-02-15,20.700000000000006,2020-02-17,2020-02-12
YR,Donegal,3.1,2020-02-14,4.2,2020-02-16,13.4,2020-02-18,2020-02-13
YR,Donegal,4.9,2020-03-25,0.0,2020-03-27,0.2,2020-03-29,2020-03-24
YR,Donegal,0.0,2020-03-26,0.0,2020-03-28,0.0,2020-03-30,2020-03-25
YR,Donegal,1.0,2020-03-18,0.0,2020-03-20,0.0,2020-03-22,2020-03-17
YR,Donegal,13.7,2020-03-17,2.7,2020-03-19,0.0,2020-03-21,2020-03-16
YR,Donegal,8.100000000000001,2020-02-22,10.8,2020-02-24,8.6,2020-02-26,2020-02-21
YR,Donegal,19.9,2020-02-21,4.9,2020-02-23,14.3,2020-02-25,2020-02-20
YR,Donegal,0.30000000000000004,2020-03-30,1.9,2020-04-01,4.4,2020-04-03,2020-03-29
YR,Donegal,0.0,2020-03-29,0.5,2020-03-31,2.7,2020-04-02,2020-03-28
YR,Donegal,5.5,2020-02-16,12.5,2020-02-18,15.2,2020-02-20,2020-02-15
YR,Donegal,14.0,2020-02-15,18.9,2020-02-17,3.6,2020-02-19,2020-02-14
